prefix,vendor
00-11-32,Synology
90-09-D0,Synology
24-5E-BE,QNAP
E8-43-B6,QNAP
EC-71-DB,Reolink
B8-A4-4F,Axis
00-40-8C,Axis
E8-27-25,Axis
AC-CC-8E,Axis
74-C9-29,Dahua
6C-1C-71,Dahua
08-ED-ED,Dahua
E0-2E-FE,Dahua
5C-F5-1A,Dahua
FC-5F-49,Dahua
24-52-6A,Dahua
90-02-A9,Dahua
E0-50-8B,Dahua
C4-AA-C4,Dahua
A0-BD-1D,Dahua
9C-14-63,Dahua
BC-32-5F,Dahua
38-AF-29,Dahua
8C-E9-B4,Dahua
14-A7-8B,Dahua
4C-11-BF,Dahua
64-FD-29,Dahua
98-F9-CC,Dahua
D4-43-0E,Dahua
F4-B1-C2,Dahua
3C-E3-6B,Dahua
FC-B6-9D,Dahua
E4-24-6C,Dahua
C0-39-5A,Dahua
B4-4C-3B,Dahua
3C-EF-8C,Dahua
0C-75-D2,Hikvision
54-8C-81,Hikvision
24-48-45,Hikvision
EC-C8-9C,Hikvision
8C-E7-48,Hikvision
24-28-FD,Hikvision
AC-B9-2F,Hikvision
D4-E8-53,Hikvision
24-0F-9B,Hikvision
C0-6D-ED,Hikvision
24-32-AE,Hikvision
E0-BA-AD,Hikvision
E0-CA-3C,Hikvision
DC-07-F8,Hikvision
64-DB-8B,Hikvision
94-E1-AC,Hikvision
58-03-FB,Hikvision
44-47-CC,Hikvision
98-DF-82,Hikvision
C0-56-E3,Hikvision
BC-AD-28,Hikvision
80-F5-AE,Hikvision
A4-29-02,Hikvision
84-94-59,Hikvision
00-BC-99,Hikvision
04-EE-CD,Hikvision
18-80-25,Hikvision
08-CC-81,Hikvision
A4-14-37,Hikvision
F8-4D-FC,Hikvision
84-9A-40,Hikvision
C0-51-7E,Hikvision
2C-A5-9C,Hikvision
40-AC-BF,Hikvision
98-F1-12,Hikvision
98-9D-E5,Hikvision
3C-1B-F8,Hikvision
4C-1F-86,Hikvision
CC-13-F3,Hikvision
28-57-BE,Hikvision
58-50-ED,Hikvision
10-12-FB,Hikvision
4C-F5-DC,Hikvision
98-8B-0A,Hikvision
80-7C-62,Hikvision
BC-9B-5E,Hikvision
18-68-CB,Hikvision
BC-BA-C2,Hikvision
AC-CB-51,Hikvision
80-BE-AF,Hikvision
04-03-12,Hikvision
EC-A9-71,Hikvision
E4-D5-8B,Hikvision
C8-A7-02,Hikvision
A4-4B-D9,Hikvision
88-DE-39,Hikvision
08-3B-C1,Hikvision
48-78-5B,Hikvision
4C-62-DF,Hikvision
44-19-B6,Hikvision
BC-5E-33,Hikvision
FC-9F-FD,Hikvision
E8-A0-ED,Hikvision
5C-34-5B,Hikvision
4C-BD-8F,Hikvision
34-09-62,Hikvision
A4-A4-59,Hikvision
80-48-9F,Hikvision
8C-22-D2,Hikvision
40-B5-70,Hikvision
E0-DF-13,Hikvision
DC-D2-6A,Hikvision
50-E5-38,Hikvision
A0-FF-0C,Hikvision
08-54-11,Hikvision
74-3F-C2,Hikvision
A4-D5-C2,Hikvision
C4-2F-90,Hikvision
54-C4-15,Hikvision
B4-A3-82,Hikvision
68-6D-BC,Hikvision
08-A1-89,Hikvision
44-A6-42,Hikvision
F0-9F-C2,Ubiquiti
80-2A-A8,Ubiquiti
78-8A-20,Ubiquiti
74-83-C2,Ubiquiti
E0-63-DA,Ubiquiti
24-5A-4C,Ubiquiti
60-22-32,Ubiquiti
E4-38-83,Ubiquiti
0C-EA-14,Ubiquiti
2C-E5-BD,Ubiquiti
44-D9-E7,Ubiquiti
D0-21-F9,Ubiquiti
70-A7-41,Ubiquiti
8C-ED-E1,Ubiquiti
90-41-B2,Ubiquiti
00-15-6D,Ubiquiti
00-27-22,Ubiquiti
DC-9F-DB,Ubiquiti
18-E8-29,Ubiquiti
F8-6F-B0,TP-Link
EC-60-73,TP-Link
A4-1A-3A,TP-Link
7C-B5-9B,TP-Link
84-B8-90,TP-Link
40-ED-00,TP-Link
78-8C-B5,TP-Link
20-23-51,TP-Link
D8-44-89,TP-Link
60-83-E7,TP-Link
A8-6E-84,TP-Link
00-31-92,TP-Link
1C-61-B4,TP-Link
9C-A2-F4,TP-Link
CC-68-B6,TP-Link
F0-A7-31,TP-Link
30-DE-4B,TP-Link
68-7F-F0,TP-Link
A8-42-A1,TP-Link
C0-06-C3,TP-Link
88-A2-9E,Raspberry Pi
98-FE-54,Raspberry Pi
2C-CF-67,Raspberry Pi
B8-27-EB,Raspberry Pi
D8-3A-DD,Raspberry Pi
DC-A6-32,Raspberry Pi
E4-5F-01,Raspberry Pi
28-CD-C1,Raspberry Pi
00-03-93,Apple
00-05-02,Apple
00-0A-27,Apple
00-0A-95,Apple
00-0D-93,Apple
00-10-FA,Apple
00-11-24,Apple
00-14-51,Apple
00-16-CB,Apple
00-17-F2,Apple
00-19-E3,Apple
00-1B-63,Apple
00-1C-B3,Apple
00-1D-4F,Apple
00-1E-52,Apple
00-1E-C2,Apple
00-1F-5B,Apple
00-1F-F3,Apple
00-21-E9,Apple
00-22-41,Apple
00-23-12,Apple
00-23-32,Apple
00-23-6C,Apple
00-23-DF,Apple
00-24-36,Apple
00-25-00,Apple
00-25-4B,Apple
00-25-BC,Apple
00-26-08,Apple
00-26-4A,Apple
00-26-B0,Apple
00-26-BB,Apple
